question_id,answer_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
3,9
3,10
3,11
3,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
5,20
5,21
5,22
5,23
5,24
5,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
7,35
7,36
7,37
7,38
7,39
8,40
8,41
8,42
8,43
8,44
9,45
9,46
9,47
9,48
9,49
9,50
10,51
10,52
10,53
10,54
10,55
10,56
10,57
10,58
14,59
14,60
14,61
14,62
14,63
15,64
15,65
15,66
15,67
15,68
16,69
16,70
16,71
16,72
16,73
16,74
17,75
17,76
17,77
17,78
17,79
17,80
17,81
18,82
18,83
18,84
18,85
18,86
19,87
19,88
19,89
19,90
19,91
19,92
20,93
20,94
20,95
20,96
20,97
20,98
20,99
20,100
20,101
21,102
21,103
21,104
21,105
21,106
21,107
21,108
21,109
21,110
21,111
21,112
21,113
21,114
21,115
22,116
22,117
22,118
22,119
22,120
22,121
23,122
23,123
23,124
23,125
23,126
23,127
24,128
24,129
24,130
24,131
24,132
24,133
24,134
25,135
25,136
25,137
25,138
26,139
26,140
26,141
26,142
27,143
27,144
27,145
27,146
27,147
27,148
27,149
27,150
28,151
28,152
28,153
28,154
28,155
29,156
29,157
29,158
29,159
29,160
29,161
29,162
29,163
30,164
30,165
30,166
30,167
30,168
30,169
30,170
30,171
30,172
30,173
30,174
30,175
28,176
29,177
29,178
30,179
30,180
31,181
31,182
31,183
31,184
31,185
31,186
32,187
32,188
32,189
32,190
32,191
32,192
32,193
32,194
32,195
33,196
33,197
33,198
33,199
33,200
33,201
33,202
33,203
33,204
33,205
33,206
32,207
